well_id,image_id,source_file,source_type,page_number_or_image_index,detected_content,is_liner_related,contains_useful_data,extracted_to_file,ocr_or_vision_method,confidence,needs_human_review,notes
ht1_004,cbl_11_5251,HT1-003、HT1-004井固井声幅图/HT1-004_固井质量测井评价图_11-5251_20260721_完井.pdf,pdf_text_layer,1页(超长条带),CBL评价图头：测量井段11-5251m；固井质量不合格；一、二界面综合合格率29.99%；悬挂器5245.010-5251.110m；目的井段7495-7526+7531-7550m；人工井底7560.29m；电测下深7581m,1,1,cbl_evaluation.csv,pymupdf_text+矢量解析,medium,0,已由另一agent完成数字化：cbl_digitization/逐1m一界面class序列(22切片)
ht1_004,cbl_5249_7384,HT1-003、HT1-004井固井声幅图/HT1-004_固井质量测井评价图_5249-7384_20260721_完井.pdf,pdf_text_layer,1页(超长条带),CBL评价图头：测量井段5249-7384m；固井质量不合格；技术说明同前；双层套管段11-5578m二界面不作评价,1,1,cbl_evaluation.csv,pymupdf_text+矢量解析,medium,0,9切片；中段一界面5253.5-7384m全差(2130m)
ht1_004,cbl_7382_7581,HT1-003、HT1-004井固井声幅图/HT1-004_固井质量测井评价图_7382-7581_20260721_完井.pdf,pdf_text_layer,1页(超长条带),CBL评价图头：测量井段7382-7581m；尾管段一界面7384-7507m差、7507-7512m中等、7512-7581m差；油气水层段7482-7560m,1,1,cbl_evaluation.csv,pymupdf_text+矢量解析,medium,0,2切片；数字化结果与图头一致
ht1_004,cbl_rcd_11_5251,HT1-003、HT1-004井固井声幅图/HT1-004_固井质量测井评价图_11-5251_20260721_完井RCD.pdf,pdf_text_layer,1页(图头),RCD水泥充填成像：充填合格；24.9-5251m中等为主；双层套管段11-5580m参考,1,1,cbl_evaluation.csv,pymupdf_text,high,0,RCD充填≠胶结；验证以CBL一界面为准
ht1_004,cbl_rcd_5249_7384,HT1-003、HT1-004井固井声幅图/HT1-004_固井质量测井评价图_5249-7384_20260721_完井RCD.pdf,pdf_text_layer,1页(图头),RCD水泥充填成像：5251-5580m好为主；5831.5-7581m中等为主部分好,1,1,cbl_evaluation.csv,pymupdf_text,high,0,
ht1_004,cbl_rcd_7382_7581,HT1-003、HT1-004井固井声幅图/HT1-004_固井质量测井评价图_7382-7581_20260721_完井RCD.pdf,pdf_text_layer,1页(图头),RCD水泥充填成像：尾段充填中等为主,1,1,cbl_evaluation.csv,pymupdf_text,high,0,
ht1_004,torque_pdf,XD80502队HT1-004井139.7+168.28㎜上扣扭矩.pdf,pdf_text_layer,63页,上扣扭矩控制汇总表：217条套管上扣记录全部合格；139.7mm TP-G2约24860-24900N.m；168.28mm TP-SFJ约19603-19609N.m；重新上扣量0,1,1,casing_liner_string.csv,pymupdf_text,high,0,2026-06-10；操作单位套管作业技术服务中心
ht1_004,third_party_pdf,化验报告/HT1-004井油层尾管第三方检测报告.pdf,scanned_pdf,9页,水泥浆第三方检测报告(西部钻探钻井流体分析实验中心 D301-2026036)：领浆稠化473min强度24h4.7/48h9.4MPa；尾浆稠化247min强度24h16.2/48h21.0MPa；流变n/K；失水42mL；相容性,1,1,fluid_properties.csv,paddleocr_vl,high,0,无文字层；PaddleOCR-VL成功OCR(return_images=false)；与化验报告.docx互为佐证(数值差异为两次试验)
ht1_004,lab_docx,化验报告/HT1-004 油层尾管 化验报告.docx,docx_tables,表1-8+稠化曲线24张,油层尾管水泥浆实验报告：领/尾浆配方、稠化、失水、强度、流变六速、相容性、静胶凝、升降温停机稠化曲线,1,1,fluid_properties.csv,python-docx,high,0,本次流体性能主数据源
ht1_004,design_inline_images,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc,word_inline_images,井身结构示意图/浆柱结构图/施工动态图/居中度模拟图/强度校核图,井身结构、浆柱、居中度等示意图；数值均以文字表为准,1,0,,word_com,medium,1,内嵌图未单独OCR；数值已从同文档文字表提取
ht1_004,daq_xlsx,HT1-004井四开油层尾管数据表-标准格式6.11最终.xlsx,xlsx_多sheet,531行(原始数据sheet),尾管入井管串逐根数据(场地排序5.22/预配6.3 sheet含下深与扶正器标注),1,1,casing_liner_string.csv,openpyxl,high,0,与作业史九逐根表一致
ht1_004,qty_docx,HT1-004 完井尾管 工程量清单.docx,docx_tables,表0-1,灰量161t(领浆1.93+尾浆1.90)；水泥72.702t石英砂25.446t等添加剂；工具附件清单(扶正器119只等),1,1,casing_liner_string.csv,python-docx,high,0,灰量/添加剂与设计16.4一致
ht1_004,compare_params,参考文档/呼1-004/设计参数/甲方参数/优化参数 docx,docx_tables,各1表,对比参数表：设计参数(早期版)、甲方参数(核定设计)、优化参数(模型输入)三类泵注/流变参数,1,1,pumping_schedule.csv,python-docx,high,0,优化参数为模型loader输入非现场值勿混用
