well_id,well_name_cn,cbl_top_md_m,cbl_bottom_md_m,cbl_pass_rate,cbl_quality_class,interpretation_summary,include_in_validation,data_type,source_description,confidence,notes
ht1_004,呼1-004,11.0,7581.0,29.99,不合格,官方结论(CPLog/LEAD5.0软件，2026-07-23解释)：固井质量不合格，违反七条红线规定，核心为测量井段内固井水泥一、二界面综合合格率29.99%未达到70.00%；上层套管鞋以上/尾管重合段及以上一界面无连续25m胶结中等及以上；油气水层段5990.00-5993.00m、7482.00-7560.00m一、二界面无连续胶结中等及以上,1,field_measured,HT1-004_固井质量测井评价图 图头(数字化文字层) 20260721 完井,high,测量井段11-7581m；完钻井深7660m人工井底7560.290m；电测下深7581m；双层套管段11-5578m VDL第二界面不作评价；固井2026-06-14测井2026-07-21
ht1_004,呼1-004,11.0,5578.0,,不作评价(双层套管),双层套管段11-5578m为双层套管，VDL第二界面不作评价；一界面正常评价,1,field_measured,HT1-004_固井质量测井评价图 图头 技术说明(数字化),high,RCD版为11-5580m
ht1_004,呼1-004,24.9,7581.0,,合格(水泥充填),RCD水泥充填成像(伽马密度/扇区声波成像/水泥充填成像)：综合评价水泥充填合格；11-24.9m自由套管；24.9-5251.0m充填以中等为主；5251.0-5580.0m以好为主；5580.0-5831.5m以好为主；5831.5-7581.0m以中等为主部分好。注：11-5580m受双层套管影响RCD解释仅供参考,0,field_measured,HT1-004_固井质量测井评价图 图头 RCD版(数字化),high,⚠️RCD充填≠胶结；模型验证以CBL一界面为准(30.0%/0.3%)
ht1_004,呼1-004,11.0,7581.0,30.0,不合格,数字化估计：全井一界面中等及以上30.0%(评价长度7556m：良好1165m+中等1099m+差5292m)，与图头官方29.99%吻合→相互验证数字化正确,1,interpreted,ht1_004_呼1-004/cbl_digitization/cbl_digitization.csv,medium,逐1m一界面解释填充色带(矢量解析)；二界面仅5578m以下评价且几乎全差
ht1_004,呼1-004,5245.0,7581.0,0.3,不合格,尾管评价段一界面中等及以上0.3%(评价长度2336m：中等7m+差2329m)，唯一中等带7506.7-7511.6m约5m位于目的井段内；建议采用cbl_pass_rate=0.3%作为尾管段口径,1,interpreted,ht1_004_呼1-004/cbl_digitization/cbl_digitization.csv,medium,尾管评价段5245-7581m(悬挂器至井底)；CBL头尾管139.70mm×7376.66-7660m
ht1_004,呼1-004,5316.0,7581.0,0.2,不合格,尾管段(初估5316-7581m)一界面中等及以上0.2%(中等5m+差2260m),0,interpreted,ht1_004_呼1-004/cbl_digitization/cbl_digitization.csv,medium,任务初估口径
ht1_004,呼1-004,7495.0,7550.0,8.8,不合格,目的井段7495-7550m一界面中等及以上8.8%(良好0+中等5m+差50m),0,interpreted,ht1_004_呼1-004/cbl_digitization/cbl_digitization.csv,medium,目的井段7495-7526+7531-7550m
ht1_004,呼1-004,7482.0,7560.0,6.2,不合格,油气水层段7482-7560m一界面中等及以上6.2%(中等5m+差73m),0,interpreted,ht1_004_呼1-004/cbl_digitization/cbl_digitization.csv,medium,官方红线点明该段无连续胶结中等及以上
ht1_004,呼1-004,5578.0,7581.0,0.2,差,单层套管段二界面中等及以上0.2%(评价长度2003m：中等5m+差1998m),0,interpreted,ht1_004_呼1-004/cbl_digitization/cbl_digitization.csv,medium,5578m以下二界面方评价；几乎全差
ht1_004,呼1-004,,,,,悬挂器位置5245.010-5251.110m；生产套管193.70mm×(0-5250.20)m+168.28mm×(5250.20-7376.66)m；尾管139.70mm×(7376.66-7660.00)m；目的井段7495.000-7526.000m+7531.000-7550.000m；固井2026-06-14回接2026-07-08测井2026-07-21,0,field_measured,HT1-004_固井质量测井评价图 图头(数字化),high,图头关键信息登记
