字段名,字段值,单位,适用井段/套管段,来源文件,页码/图号,证据等级,备注
well_name,,,-,-,-,A,井号
top_md_m,,m,-,-,-,A,井段顶部深度
bottom_md_m,,m,-,-,-,A,井段底部深度
shoe_md_m,,m,-,-,-,A,鞋深（测深）
hanger_md_m,,m,-,-,-,A/B,悬挂器位置
casing_od_mm,,mm,-,-,-,A,套管外径
casing_id_mm,,mm,-,-,-,A,套管内径
liner_od_mm,,mm,-,-,-,A,尾管外径
liner_id_mm,,mm,-,-,-,A,尾管内径
liner_wall_thickness_mm,,mm,-,-,-,A/B,尾管壁厚
upper_section_bottom_md_m,,m,-,-,-,A/B,上段尾管底界（双径井必填）
upper_liner_od_mm,,mm,-,-,-,A/B,上段尾管外径（双径井必填）
upper_liner_id_mm,,mm,-,-,-,A/B,上段尾管内径（双径井必填）
shoe_lag_volume_m3,,m3,-,-,-,A/B,鞋口滞后体积（替代管内截面积×鞋深粗算）
hole_diameter_mm,,mm,-,-,-,A/B,井眼直径
packer_depth_m,,m,-,-,-,A/B,分级箍位置
evaluation_window_top_m,,m,-,-,-,A/B,评价窗口顶部
evaluation_window_bottom_m,,m,-,-,-,A/B,评价窗口底部
cementing_method,,,-,-,-,A,固井方式（单级/分级）
