well_id,field_group,field_name,field_value,loader_value,adopted_value,unit,adopted_source_type,confidence,action,notes
hu101,cbl,cbl_pass_rate,0.6277,,0.6277,fraction,interpreted,high,adopt,"100312.PDF CBL合格率62.77%; paper CBL评价窗5700-7810m"
hu101,geometry,upper_composite_liner,"168.3mm liner in 260.35mm hole","equivalent hole diameter with 139.7mm OD reference","area-preserving equivalent geometry",rule,model_assumption,medium,adopt,"paper loader keeps explicit equivalent-geometry note"
hu101,program,lead_volume_m3,47.0,47.0,47.0,m3,field_measured,high,adopt,"现场抽取施工量"
hu101,program,tail_volume_m3,23.0,23.0,23.0,m3,field_measured,high,adopt,"现场抽取施工量"
hu102,cbl,cbl_pass_rate,0.6665,0.6665,0.6665,fraction,interpreted,high,adopt,"100413.PDF CBL合格率66.65%; CBL评价窗6840-7665m"
hu102,geometry,caliper_profile,"field profile available","legacy loader profile","legacy loader current profile pending full CSV rebuild",profile,legacy_value,medium,adopt_for_v1,"paper metadata marks hu102 as field-rich but loader-rebuild sensitive"
hu102,program,pumping_schedule,"field-rich construction records","legacy reconstructed schedule","legacy reconstructed schedule",schedule,legacy_value,medium,adopt_for_v1,"future improvement should rebuild from extracted pumping CSV"
hu103,cbl,cbl_pass_rate,0.1206,,0.1206,fraction,interpreted,high,adopt,"139.7mm段7338-7712m; do not mix 168.3mm段0.0004或综合0.0605"
hu103,geometry,lower_liner_interval,"139.7mm tail liner 7330.6-7770m","139.7mm single OD",139.7,mm,field_measured,high,adopt,"paper main validation window is 7338-7712m"
hu103,program,tail_volume_m3,19.0,19.0,19.0,m3,field_measured,medium,adopt,"含下塞1.18m3; intermediate slurry remains proxy"
ht1_001,sample_class,main_validation_status,"pending cleaned schedule and frozen CBL window","legacy/proxy loader","application_pending_validation",class,model_assumption,low,defer,"not included in CBL error metrics until cleaned schedule and CBL window are frozen"
