well_id,well_name_cn,cbl_top_md_m,cbl_bottom_md_m,cbl_pass_rate,cbl_quality_class,interpretation_summary,include_in_validation,data_type,source_file,source_location,confidence,notes
hu101,呼101,5400,7868,,差（悬挂器坐挂失败）,"悬挂器坐挂失败导致座底固井；复合井眼215.9mm内139.7mm套管承受较大应力，居中度下降，封固质量差；168.3mm套管环空单位容积大，水泥浆环空返速仅0.5-0.3m/s(139.7mm段0.8-0.44m/s)，复合井眼顶替效率差；计量不准确，下塞短于设计(实探下塞面7813.6m，设计7718m)；CBL/VDL资料为扫描版PDF(2011122.pdf)和图片(20141/, 20151/)",1,field_measured,2/201/2011/20111/201111/2011114.doc,七、固井质量分析,low,CBL/VDL扫描版和图片需OCR或人工数字化提取，无现成合格率数字
hu101,呼101,0,5399.78,,无CBL数据（施工异常未注灰）,施工异常：泵车故障，尾浆注1m3后被迫放弃注灰，约40m3水泥未注入井内，水泥可能低返2000m以上；压塞液5m3未注入，胶塞未入井，油基泥浆与水泥浆直接接触，存在闪凝风险；人工计量替浆，到量未碰压,1,field_measured,2/201/2012/20126.doc,(三)固井质量分析,low,施工严重异常，CBL质量预计较差
hu101,呼101,0,200,,差（自由套管）,CBL声幅极高（~100mV满刻度），VDL显示典型的自由管波形特征——套管波能量极强，信号笔直清晰，无地层波信号。确认套管外无水泥胶结，属空套管段,1,vision_extracted,2/201/2015/20151/0-200.jpg,0-200m CBL/VDL分段图,medium,vision识别确认：此段为典型的自由管（Free Pipe）特征
hu101,呼101,5390.0,7810.0,62.77,不合格（62.77%合格率，未达标70%红线）,正式CBL/VDL测井评价图（100312.PDF）结论：测量井段水泥胶结质量合格率62.77%，未达到70.00%红线。5390.00-5699.80m双层套管二界面不作评价。固井日期2022-11-12，测井日期2022-12-15。目的井段6153-7741m不合格。水泥面5402.850m。悬挂器5402.85-5407.46m。套管：168.3mmx6796.13m+139.7mmx7868m。水泥密度2.10g/cm3，169.880t。解释软件LEAD，测井装备CPLog。,1,vision_extracted+header_ocr,1/1003/10031/100312.PDF,图头信息+技术说明,high,Vision分析确认图头所有字段。62.77%为正式解释结论。
hu101,呼101,5390.0,5455.0,0.0,差（悬挂器段/双层套管）,CBL振幅极高80-100mV，VDL强套管波笔直条纹，无地层波。一界面二界面全红色（胶结差）。包含悬挂器5402.85-5407.46m（坐挂失败导致座底固井）。CCL:5393/5405/5417/5429/5441/5453m。GR 30-90API。CAL~21-22cm。,1,vision_extracted,1/1003/10031/100312.PDF,5390-5455m CBL/VDL评价图段,high,Vision逐像素确认：全段一界面二界面均为红色。悬挂器坐挂失败，水泥环在悬挂器处胶结极差。
hu101,呼101,5455.0,5580.0,100.0,优良（双层套管内良好胶结）,CBL振幅极低0-10%，VDL强地层波W形锯齿信号，套管波极弱。一界面二界面全蓝色（胶结良好）。CCL:5464/5477/5491/5505/5518/5532/5545/5558/5571m。平均管长13-14m。,1,vision_extracted,1/1003/10031/100312.PDF,5455-5580m CBL/VDL评价图段,high,Vision确认：全段蓝色，CBL<10mV，VDL强地层波。
hu101,呼101,5580.0,5705.0,92.0,良好（含局部一界面差段）,5580-5693m:蓝色良好。5693-5703m:一界面红色差（10m），CBL升高VDL套管波增强——局部水泥缺失/微环隙。二界面保持蓝色。5703-5705m:恢复蓝色。位于双层套管向裸眼段过渡附近（技术套管鞋5699.80m）。,1,vision_extracted,1/1003/10031/100312.PDF,5580-5705m CBL/VDL评价图段,high,Vision确认：5693-5703m一界面差，可能与套管接箍处水泥窜槽有关。
hu101,呼101,5703.0,5835.0,81.1,良好至中等（含自由管特征差段）,5703-5724m(21m):CBL高值VDL强套管波，一界面红色——自由管特征差段，裸眼段顶部水泥充填不充分。5724-5744m:蓝色良好。5744-5751m:绿色中等。5751-5819m:蓝色良好。5819-5823m:绿色中等(5822m接箍处)。5823-5835m:蓝色良好。二界面全段蓝色。,1,vision_extracted,1/1003/10031/100312.PDF,5703-5835m CBL/VDL评价图段,high,Vision确认：5703-5724m一界面差(21m)。裸眼段起始处水泥充填不足。
hu101,呼101,5833.0,5955.0,83.6,良好（含短段中等和差）,5833-5885m:蓝色良好。5885-5892m:绿色中等。5892-5914m:蓝色良好。5914-5925m:绿色中等。5925-5929m(4m):红色差——CBL峰值VDL套管波增强。5929-5955m:蓝色良好。二界面全段蓝色。,1,vision_extracted,1/1003/10031/100312.PDF,5833-5955m CBL/VDL评价图段,high,Vision确认：仅5925-5929m(4m)红色，其余良好至中等。
hu101,呼101,5955.0,6495.0,,良好为主（含局部差段，推断）,Vision配额用尽后的自动化分析+图头推断段。自动RED检测显示局部差段：5963-5968m(~5m)、6114-6119m(~5m)、6218-6221m(~3m)、6255-6267m(~12m)。包含水层6152-6156m(K1s)，固井质量对水层封隔关键。其余以蓝色良好为主。,1,auto_analysis,1/1003/10031/100312.PDF,"5955-6495m, 自动化分析推断",medium,Vision配额用尽。以自动化像素分类+图头62.77%合格率交叉推断。需后续Vision验证。
