well_id,event_time_min,event_md_m,event_type,description,related_stage,source_file,source_location,confidence,notes
ht1_001,,7531.0,钻进井漏,钻进至7531m渗漏;密度1.98;漏失当量2.038;降密度至1.96;桥堵12方(30%),钻进期间,施工设计/section 1.6,2025.7.27 13:50,high,第1次井漏;非固井期间
ht1_001,,7585.0,钻进井漏,钻进至7585m渗漏;密度1.95;漏失当量2.0;泵堵漏浆7m3,钻进期间,施工设计/section 1.6,2025.8.1 09:40,high,第2次井漏
ht1_001,,7623.0,钻进井漏,钻进至7623m渗漏;密度1.95;漏失当量2.013;泵堵漏浆10m3,钻进期间,施工设计/section 1.6,2025.8.3 09:50,high,第3次井漏
ht1_001,,7660.4,钻进井漏,钻进至7660.4m井漏;密度1.95;漏失当量2.002;静堵1h;泵堵漏浆12m3;降密度至1.93,钻进期间,施工设计/section 1.6,2025.8.4 21:50,high,第4次井漏;最严重
ht1_001,0,,施工开始,固井施工开始(冲洗管线试压30MPa),固井施工,施工小结/section 9,2025.8.25 21:05,high,
ht1_001,30,,试压,冲洗管线试压30MPa通过,管线试压,施工小结/section 9,21:05-21:15,high,试压通过
ht1_001,65,,排量偏差,先导浆实际排量1.4m3/min(设计1.0);施工小结记载实际排量偏高,先导浆注入,施工小结/section 9,21:15,medium,设计排量1.0;实际1.4m3/min
ht1_001,170,,停泵控压,停泵倒闸门/压塞控压6.4MPa,倒闸门控压,施工小结/section 9,23:51-00:00,high,精细控压操作
ht1_001,274,,碰压成功,碰压7.5→14.8MPa;放回水断流;到量碰压成功,碰压,施工小结/section 9,约01:34,high,碰压成功
ht1_001,274,,循环排混浆,拔出中心管以2.4m3/min排量循环洗井排混浆和前置液,循环洗井,施工小结/section 9,施工结束后,high,
ht1_001,,,控压候凝,施工结束后加回压7.98MPa;关井憋压9.19-12.77MPa候凝;至领浆:隔离液=8:2强度达3.5MPa后开井,候凝,施工设计/section 5.1,施工后候凝期间,high,精细控压候凝方案
ht1_001,,,固井质量评价,固井质量统计:合格,质量评价,施工小结/section 10,测井后,low,仅有合格定性结论;无CBL量化数据
ht1_001,,,替浆开始,开始替钻井液;初始泵压17MPa;排量3.5m3/min,替浆阶段,205172.xlsx,10m3累积点,high,替浆实时数据表第一条记录
ht1_001,,,压力下降,替至20m3;泵压降至16MPa,替浆阶段,205172.xlsx,20m3累积点,high,替浆压力逐步下降
ht1_001,,,压力下降,替至50m3;泵压降至15MPa,替浆阶段,205172.xlsx,50m3累积点,high,
ht1_001,,,压力回稳,替至100m3;泵压16MPa;剩余84m3(总需替量约184m3),替浆阶段,205172.xlsx,100m3累积点,high,泵压波动15-16MPa;稳定替浆中段
ht1_001,,,降排量,替至110m3;排量降至3.0m3/min;泵压13-12.7MPa;压塞液注入,替浆阶段,205172.xlsx,110m3累积点;流速3.0,high,压塞液注入开始;排量降低
ht1_001,,,降排量,替至160m3;排量降至2.5m3/min;泵压9-11MPa,替浆阶段,205172.xlsx,160m3累积点;流速2.5,high,排量进一步降低
ht1_001,,,降排量,替至210m3;排量降至2.0m3/min;泵压8-7MPa,替浆阶段,205172.xlsx,210m3累积点;流速2.0,high,
ht1_001,,,降排量,替至270m3;排量降至1.5m3/min;泵压5-6MPa,替浆阶段,205172.xlsx,270m3累积点;流速1.5,high,
ht1_001,,,碰压准备,替至315m3;排量降至1.0m3/min;泵压2-5MPa;钻井液开始进入环空,替浆/碰压准备,205172.xlsx,315m3累积点;流速1.0,high,钻井液标记;碰压前低排量
ht1_001,,,替清水段,替至325m3;介质切换为清水;排量1.0m3/min,替浆阶段,205172.xlsx,325m3累积点;清水标记,high,替清水
ht1_001,,,替浆结束,替至350m3;累积泵冲约18558(100%效率);替浆完成,替浆结束,205172.xlsx,350m3累积点,high,替浆实时数据表最后一条记录
ht1_001,,,,HT1-001数采.xlsm提取完成: 1238行5秒间隔原始数据(2025.8.14 01:08-02:54);密度/泵压/排量/累计量/水流量6通道,水泥浆准备/混合,HT1-001数采.xlsm,数据表sheet(第2工作表),high,该文件仅含8月14日数据(施工前11天);为水泥浆实验室混合/泵送测试;非8月25日-26日实际固井施工数据。密度范围-0.02-4.47(均值1.46);泵压0-12.86MPa(均值4.81);排量0-1.33m3/min;累计量增51m3(4315-4366);含931行活跃泵送数据。
ht1_001,,,,1001/10011.xlsx含HT1-001钻井日志49行(2025.5.28-7.8;深度5247-6630m;密度1.50-2.12;钻头241mm);为非固井参考数据,钻进历史,1001/10011.xlsx,SheetJS工作表,high,钻进历史记录;确认地层K1l-K2d-K1s-K1h;钻至三开套管段
ht1_001,,,,1001/10012.xlsx含HT1-001项目进度表(2025.2.7开工;151天;902100队;ZJ90钻机;设计7620m),项目管理,1001/10012.xlsx,SheetJS工作表,medium,项目管理表;非固井技术数据
