well_id,event_time_min,event_md_m,event_type,description,related_stage,source_file,source_location,confidence,notes
hu103,,7542.69,漏失,取芯钻进至7542.69m漏失 漏速0.2m3/10min 补充随钻堵漏剂9->11% 降排量至15.8L/s,钻进,20313.doc,1.7钻进复杂,high,
hu103,,7652.6,渗漏,钻至7652.6m液面渗漏 密度1.98g/cm3 随钻堵漏剂14% 15min液面下降0.4m3,钻进,20313.doc,1.7钻进复杂,high,
hu103,,,环空憋堵,2024.9.20下尾管到底后洗井循环: 泵压1.22->5.43MPa波动 判断环空憋堵 裸眼静置7天(168h)岩屑剥落堆积,洗井,20315.doc,(三)井循环过程,high,环空憋堵是导致降排量施工的直接原因
hu103,,,环空憋堵-处理,变排量循环+上下活动钻具 泵压5.4-13MPa 最高17.5MPa 轻微渗漏 振动筛返出新鲜岩屑,洗井,20315.doc,(三)井循环过程,high,
hu103,,,注2.02重浆携砂,2024.9.21 15:45-23:00注入密度2.02g/cm3重浆350m3携砂清扫井眼,洗井,20315.doc,(三)井循环过程,high,
hu103,,,降排量循环,2024.9.22 12:45起排量0.65-0.7m3/min 泵压7.0-9.3MPa波动 座挂后循环压耗增加2MPa,洗井,20315.doc,(三)井循环过程,high,
hu103,,,座挂成功,投40mm铜球 憋压12MPa稳压3min座挂成功 继续憋压20MPa球座蹩脱形成循环通道,座挂,20313.doc,5.2(6)投球做挂倒扣丢手,high,
hu103,,,碰压,替浆到量碰压 放回水断流,替浆,20314.doc,施工记录表,high,
hu103,,,候凝环空加压,环空加压5.3MPa候凝48h,候凝,20314.doc,施工记录表,high,
hu103,,,封隔器坐封,注替结束憋压6.9MPa坐封管外封隔器; 憋压9MPa拔出中心管; 若坐封失败则控压,候凝,20313.doc,5.2.4(5)压稳设计,high,
hu103,,6120,水层压稳,固井全程控压确保6120m水层ECD 2.03-2.05g/cm3压稳,全程,20313.doc,8.3压稳计算,high,水层压力系数2.0-2.01
hu103,,,实际排量远低于设计,设计施工排量1.8m3/min(30L/s) 实际仅0.6m3/min 因环空憋堵被迫降排量,全程,20314.doc+20315.doc,施工记录+总结,high,重要差异:设计1.8vs实际0.6m3/min
