well_id,fluid_name,fluid_role,density_g_cm3,rheology_model,pv_mpa_s,yp_pa,yield_stress_pa,consistency_k_pa_sn,flow_index_n,viscosity_mpa_s,test_temperature_c,data_type,source_description,confidence,notes
ht1_004,油基钻井液(下套管前),mud,1.91,幂律+宾汉,53,8.5,,0.24,0.8,,60,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.3.1,high,白油基取样2026.6.7；粘度64s；HTHP失水1.8mL/2.0mm@160C；固含42%；氯离子23000mg/L；含油90:10；破乳电压813；六速123/70/51/31/7/5；初切4终切6Pa
ht1_004,油基钻井液(洗井结束/固井前),mud,1.90,,,10,,,,,62,field_measured,HT1-004井168.3+139.7mm尾管固井施工记录表.doc 洗井,high,洗井结束前密度1.91粘度62s屈服10Pa；固井前钻井液密度1.90(设计/总结)；替浆介质塑粘50mPa.s
ht1_004,油基钻井液(化验报告132↓93C),mud,1.91,幂律,,,,0.738,0.635,,93,field_measured,化验报告/HT1-004 油层尾管 化验报告.docx 表7 流变性能,high,132C↓93C六速123/70/51/31/7/5，n=0.635 K=0.738
ht1_004,油基钻井液(老化48h/72h@160C),mud,1.89,宾汉,47-50,7-9,,,,,160,field_measured,HT1-004井油层尾管固井作业史.doc 五.5.3,high,老化48h六速108/61 43/26 6/5→114/65 47/28 7/5；72h→118/68 49/30 7/6；AV54-59 PV47-50 YP7-9初终切3.5-4/6.5-7
ht1_004,先导浆,wash,1.75,宾汉,30,7,,,,,,design_value,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 五.5.1/十.10.3,medium,低密前置液25m3；设计要求密度1.75粘度≤55s塑粘≤30mPa.s动切≤7Pa；化验报告表6稳定性上1.75中1.76下1.76冲洗效率97.1%(field_measured)
ht1_004,低失水驱油隔离液1,spacer,1.95,幂律,,,,0.736,0.611,,93,field_measured,化验报告/HT1-004 油层尾管 化验报告.docx 表7/表6,high,132C↓93C六速100/63/50/33/6/4；稳定性上1.94中1.95下1.96；冲洗效率97.8%；配方:水+3.5%悬浮剂+40%驱油冲洗剂+8%降失水剂+1%消泡剂+180%重晶石
ht1_004,低失水驱油隔离液2,spacer,1.75,幂律,,,,0.736,0.611,,93,field_measured,化验报告/HT1-004 油层尾管 化验报告.docx 表7/表6,high,与隔离液1同流变；稳定性上1.75中1.76下1.76；冲洗效率97.1%；配方+135%重晶石；表6另有1.90g/cm3行(稳定1.90/1.90/1.91冲洗97.3)疑为压塞液或另配浆
ht1_004,领浆,lead_cement,1.93,幂律,,,,0.746,0.853,,132,field_measured,化验报告/HT1-004 油层尾管 化验报告.docx 表4/表7,high,配方:G+35%石英砂+0.8%BCJ-300S+3%BCE-311S+4%BCY-200S+3%蛭石+(5%BCG-200L+3.5%BCD-210L+3.9%XZ-HN1G+0.3%XZ-XP1L)湿混+42%H2O；造浆率71%液固比38%；稠化489min/70Bc(488/40Bc)；API失水44ml；游离液0；沉降0.01；强度24h3.6/48h7.5/7d30.4MPa；7d膨胀0.05%；渗透0.016e-3um2；顶部静胶凝29h55min/240Pa、34h40min/3.5MPa；流变>300/296/213/120/10/6
ht1_004,尾浆,tail_cement,1.90,幂律,,,,0.669,0.869,,132,field_measured,化验报告/HT1-004 油层尾管 化验报告.docx 表5/表7,high,配方:G+35%石英砂+0.8%BCJ-300S+3%BCE-311S+4%BCY-200S+3%蛭石+(5%BCG-200L+3.5%BCD-210L+2.5%XZ-HN1G+0.3%XZ-XP1L)湿混+46%H2O；造浆率73%液固比39%；稠化256min/70Bc(255/40Bc)；API失水40ml；游离液0；沉降0.01；强度24h15.2/7d32.9MPa；7d膨胀0.07%；渗透0.021e-3um2；顶部静胶凝621min/240Pa 775min/3.5MPa、底部473min/240Pa 553min/3.5MPa；流变>300/293/211/120/10/5
ht1_004,领浆(第三方复检),lead_cement,1.93,幂律,,,,0.731,0.672,,88,field_measured,化验报告/HT1-004井油层尾管第三方检测报告.pdf 领浆,high,报告D301-2026036：稠化473min/70Bc；流变φ400:256/φ200:194/φ100:108/φ6:10/φ4:6(88C平均) n=0.672 K=0.731；失水Q30=42mL；强度24h4.7/48h9.4MPa；实验132C/143MPa
ht1_004,尾浆(第三方复检),tail_cement,1.90,幂律,,,,0.683,0.706,,88,field_measured,化验报告/HT1-004井油层尾管第三方检测报告.pdf 尾浆,high,报告D301-2026036：稠化247min/70Bc；流变φ300:248/φ200:181/φ100:102/φ6:9/φ3:5(88C) n=0.706 K=0.683；失水Q30=42mL；强度24h16.2/48h21.0MPa；实验132C/143MPa
ht1_004,压塞液,plug,1.70,宾汉,,,,,,,,design_value,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 七.7.1.3,medium,驱油隔离液类2m3；实际施工后置液2m3密度1.70g/cm3(施工记录表 注后置液 field_measured)
ht1_004,保护液/中置液,displacement,1.90,,,,,,,,,design_value,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 七.7.1.3,medium,14m3批混车混配；实际施工密度1.90g/cm3(作业史)
ht1_004,基液,displacement,1.02,,,,,,,,,design_value,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 七.7.1.3,medium,1m3密度1.02g/cm3
ht1_004,替浆钻井液,displacement,1.90,,,50,,,,,,field_measured,HT1-004井168.3+139.7mm尾管固井施工记录表.doc 替浆,high,替浆介质钻井液密度1.90g/cm3塑粘50mPa.s
