well_id,image_id,source_file,source_type,page_number_or_image_index,detected_content,is_liner_related,contains_useful_data,extracted_to_file,ocr_or_vision_method,confidence,needs_human_review,notes
hu101,201411,2/201/2014/20141/201411.jpg,jpg,0-200m段,CBL/VDL测井曲线图（0-200m显示段，页眉PLOT RANGE 3883.82M ~ -1.68M）。CBL 0-100mV，值5-15mV。VDL有套管波+人字形信号。GR 30-50 GAPI。TENS 750-800KG。软件V2.4.160509，采集2022-02-18 03:23:41。固井质量良好,1,1,cbl_evaluation.csv,minimax_vision,medium,0,页眉信息完整；实际显示0-200m，非全段
hu101,201412,2/201/2014/20141/201412.jpg,jpg,,CBL/VDL测井曲线图（未vision处理，推测覆盖200-500m区间）,1,0,,,low,1,跳过的连续段图片，可后续补充
hu101,201413,2/201/2014/20141/201413.jpg,jpg,,CBL/VDL测井曲线图（未vision处理）,1,0,,,low,1,
hu101,201414,2/201/2014/20141/201414.jpg,jpg,,CBL/VDL测井曲线图（未vision处理）,1,0,,,low,1,
hu101,201415,2/201/2014/20141/201415.jpg,jpg,,CBL/VDL测井曲线图（未vision处理）,1,0,,,low,1,
hu101,201416,2/201/2014/20141/201416.jpg,jpg,,CBL/VDL测井曲线图（未vision处理）,1,0,,,low,1,
hu101,201417,2/201/2014/20141/201417.jpg,jpg,,CBL/VDL测井曲线图（未vision处理）,1,0,,,low,1,
hu101,201418,2/201/2014/20141/201418.jpg,jpg,,CBL/VDL测井曲线图（未vision处理）,1,0,,,low,1,
hu101,201419,2/201/2014/20141/201419.jpg,jpg,2125-2430m段,CBL/VDL测井曲线图（2125-2430m）。CBL极低（<15mV），VDL显示极强套管波平行条纹。第一界面胶结良好但VDL表现矛盾，典型微环隙特征。右上角有'2022年1月'字样。GR、TENS、CBL标注清晰,1,1,cbl_evaluation.csv,minimax_vision,medium,0,vision识别：微环隙特征明显
hu101,2014191,2/201/2014/20141/2014191.jpg,jpg,2425-2725m段,CBL/VDL测井曲线图（2425-2725m）。CBL极低（<10mV），VDL弱套管波+强地层波（波浪锯齿状）。全段优良胶结。2600m附近CBL轻微升高。右上角'2022年1月'、'探工程有'字样,1,1,cbl_evaluation.csv,minimax_vision,medium,0,vision识别确认优良胶结
hu101,2014192,2/201/2014/20141/2014192.jpg,jpg,2725-3000m段,CBL/VDL测井曲线图（2725-3000m）。CBL低-中等。VDL：2825-2875m地层波最强。分段评价：2725-2825m中等、2825-2850m优良、2850-2925m中等、2925-3000m中等偏下。2835m有污迹,1,1,cbl_evaluation.csv,minimax_vision,medium,0,vision识别：多段混合质量
hu101,2014194,2/201/2014/20141/2014194.jpg,jpg,3300-3625m段,CBL/VDL测井曲线图（3300-3625m）。CBL极低且稳定。VDL弱套管波+清晰地层波（W形锯齿）。全段优良胶结,1,1,cbl_evaluation.csv,minimax_vision,medium,0,vision识别确认优良
hu101,2014195,2/201/2014/20141/2014195.jpg,jpg,3600-3883m段,CBL/VDL测井曲线图（3600-3883m）。页眉完整：软件V2.0.160509，PLOT 3883.82M~-1.68M，采集2022-02-17 09:50:30，文件CBL.u1og。CBL 0-100mV，全段<10mV。VDL强烈人字形地层波。纸张有手写'呼101井'和'2月18日'、'安全'、'部钻探'等,1,1,cbl_evaluation.csv,minimax_vision,high,0,页眉最完整的一张，确认深度范围和采集信息
hu101,201493,2/201/2014/20141/201493.jpg,jpg,3000-3300m段,CBL/VDL测井曲线图（3000-3300m）。CBL极低。VDL弱套管波+强地层波。3000-3015m为仪器启动干扰。3015-3300m全段优良胶结,1,1,cbl_evaluation.csv,minimax_vision,medium,0,vision识别确认优良
hu101,20151_0200,2/201/2015/20151/0-200.jpg,jpg,0-225m段,分段CBL/VDL测井图。软件V2.0.1.1（LEAP Field Log），文件：校深1.ULOG，采集2022-01-16 04:32:43。CBL全段~100mV（满刻度），VDL极强套管波（笔直条纹），无地层波。确认：自由套管（Free Pipe），无水泥胶结,1,1,cbl_evaluation.csv,minimax_vision,high,0,vision识别确认自由套管，页眉信息完整
hu101,20151_200500,2/201/2015/20151/200-500.jpg,jpg,200-500m,分段CBL/VDL测井曲线（未vision处理）,0,0,,,low,1,非尾管段
hu101,20151_500700,2/201/2015/20151/500-700.jpg,jpg,500-700m,分段CBL/VDL测井曲线（未vision处理）,0,0,,,low,1,非尾管段
hu101,20151_700950,2/201/2015/20151/700-950.jpg,jpg,700-950m,分段CBL/VDL测井曲线（未vision处理）,0,0,,,low,1,非尾管段
hu101,20151_9501275,2/201/2015/20151/950-1275.jpg,jpg,950-1275m,分段CBL/VDL测井曲线（未vision处理）,0,0,,,low,1,非尾管段
hu101,20151_12751575,2/201/2015/20151/1275-1575.jpg,jpg,1275-1575m,分段CBL/VDL测井曲线（未vision处理）,0,0,,,low,1,非尾管段
hu101,20151_15751800,2/201/2015/20151/1575-1800.jpg,jpg,1575-1800m,分段CBL/VDL测井曲线（未vision处理）,0,0,,,low,1,非尾管段
hu101,20151_18002075,2/201/2015/20151/1800-2075.jpg,jpg,1800-2075m,分段CBL/VDL测井曲线（未vision处理）,0,0,,,low,1,非尾管段
hu101,20151_20752375,2/201/2015/20151/2075-2375.jpg,jpg,2075-2375m,分段CBL/VDL测井曲线（未vision处理）,0,0,,,low,1,非尾管段
hu101,20151_23752625,2/201/2015/20151/2375-2625.jpg,jpg,2325-2625m段,分段CBL/VDL测井图（实际显示~2325-2625m）。CBL低幅值，第一界面良好。VDL极强套管波+弱地层波，第二界面差。右下角手写'...部不合格处...'和'呼101井'，技术人员已标注不合格。综合评价中等，含不合格段,1,1,cbl_evaluation.csv,minimax_vision,medium,1,vision识别：有手写'不合格'标注，含疑点段需人工确认
hu101,20151_26252900,2/201/2015/20151/2625-2900.jpg,jpg,2625-2900m,分段CBL/VDL测井曲线（未vision处理）,0,0,,,low,1,非尾管段
hu101,20151_29002996,2/201/2015/20151/2900-2996.jpg,jpg,2790-2985m段,分段CBL/VDL测井图。软件V2.0.1.1，文件：校深1.ULOG，采集2022-01-15 21:45:06。路径E:\\2021年\\声幅\\呼101。FROM 2998.45M。CBL 2-10mV（低值），VDL仍有清晰套管波。可能存在微环隙，中等至良好。实际显示~2790-2985m（底被表格遮挡），非完整2900-2996m,1,1,cbl_evaluation.csv,minimax_vision,medium,0,vision识别：实际覆盖范围与文件名有偏差
hu101,20129,2/201/2012/20129.jpg,jpg,施工监测图,呼101固井作业曲线（2022-12-01 16:08-19:06）。回接尾管固井施工监测图。五项参数：泵压B（黄）、密度（洋红）、累计总量（黑，最大~70）、泵压A（蓝）、总排量（青绿）。累计总量从16:34开始上升至~70,1,1,,minimax_vision,medium,0,vision识别：回接尾管固井施工曲线
hu101,20131,2/201/2013/20131.jpg,jpg,结算单,固井工程费结算单（2021-05-04）。井号：呼101，井深：5700m，井队：70012，区/块：呼图壁。273.1mm技术套管固井（中完）。水泥浆密度1.64+1.90。弹性扶正器Φ273.1×Φ333（163个）、刚性扶正器Φ273（163个）、浮箍浮鞋Φ273×TP-G2HP、复合胶塞Φ273、套管头70MPa-10-3/4,0,1,,minimax_vision,high,0,vision识别：273.1mm技术套管结算单，非尾管
hu101,20139,2/201/2013/20139.jpg,jpg,施工监测图,90012队呼101井第三次技套作业曲线（2022-05-04，38325车）。273.1mm技术套管第三次作业监测图。泵压B（蓝）、泵压A（橙）、密度（灰）、总排量（深蓝）、累计总量（黄，阶梯上升至~80后多次复位）。压力高峰70-80，密度稳定~10,0,1,,minimax_vision,medium,0,vision识别：273.1mm技术套管施工监测
hu101,201391,2/201/2013/201391.jpg,jpg,,技术套管相关图片（vision处理失败 - Token Plan用量上限）,0,0,,,none,1,未处理，Token Plan用尽
