well_id,fluid_name,fluid_role,density_g_cm3,rheology_model,pv_mpa_s,yp_pa,yield_stress_pa,consistency_k_pa_sn,flow_index_n,viscosity_mpa_s,test_temperature_c,data_type,source_description,confidence,notes
ht1_003,油基钻井液(下套管前),mud,1.95,幂律+宾汉,51,10,,,0.631,,65,field_measured,HT1-003井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.3.1,high,粘度62s；HTHP失水1.2mL/1.5mm@150C；固含40%；氯离子22000mg/L；油水比85:15；破乳电压814；六速122/71/52/21/7/6；初终切4/7.5Pa
ht1_003,油基钻井液(洗井结束前),mud,1.95,,,10,,,,,62,field_measured,HT1-003井168.3+139.7mm尾管固井施工记录表.doc 洗井,high,屈服值10Pa，密度1.95g/cm3，粘度62s
ht1_003,油基钻井液(化验报告129C),mud,1.95,幂律,,,,0.751,0.631,,field_measured,化验报告/HT1-003 油层尾管 化验报告.docx 表7 流变性能,high,"129C↓93C六速122/71/52/21/7/6，n=0.631,K=0.751"
ht1_003,先导浆,wash,1.75,宾汉,55,9.2,,,,,,design_value,HT1-003井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 七/设计初稿,medium,低密先导浆28m3；要求粘度<55s塑粘≤30mPa.s
ht1_003,低失水驱油隔离液1,spacer,2.05,幂律,,,,1.245,0.668,,field_measured,化验报告/HT1-003 油层尾管 化验报告.docx 表7/表6,high,129C↓93C六速239/177/123/89/10/6；稳定性上2.05/中2.06/下2.06；冲洗效率97.9%；配方:水+3.5%悬浮剂+40%驱油冲洗剂+8%降失水剂+1%消泡剂+215%重晶石
ht1_003,低失水驱油隔离液2,spacer,1.95,幂律,,,,1.245,0.668,,field_measured,化验报告/HT1-003 油层尾管 化验报告.docx 表7/表6,high,与隔离液1同流变；稳定性上1.94/中1.95/下1.95；冲洗效率97.7%；配方+180%重晶石；实际配隔离液xlsm密度~2.08
ht1_003,领浆,lead_cement,2.05,幂律,,,,1.622,0.597,,field_measured,化验报告/HT1-003 油层尾管 化验报告.docx 表4/表7,high,稠化455min/70Bc(454@40Bc)；API失水37ml；游离液0；沉降0.01；24h强度3.9MPa/48h7.4/7d30.3；7d膨胀率0.06%；7d渗透率0.018e-3um2；顶部静胶凝34h10min；配方:G+35%铁矿粉+35%石英砂+1%BCJ-300S+3%BCE-311S+4%BCY-200S+(5%BCG-200L+4%BCD-210L+3.4%XZ-HN1G+0.3%XZ-XP1L)湿混+52%H2O
ht1_003,尾浆,tail_cement,1.95,幂律,,,,1.673,0.585,,field_measured,化验报告/HT1-003 油层尾管 化验报告.docx 表5/表7,high,稠化256min/70Bc(253@40Bc)；API失水40ml；游离液0；沉降0.01；24h强度15.1MPa/7d32.5；7d膨胀率0.08%；7d渗透率0.025e-3um2；顶部静胶凝394min底部227min；配方:G+20%铁矿粉+35%石英砂+1%BCJ-300S+3%BCE-311S+4%BCY-200S+(5%BCG-200L+3%BCD-210L+2.3%XZ-HN1G+0.3%XZ-XP1L)湿混+56%H2O
ht1_003,压塞液,plug,1.95,宾汉,30,8,,,,,,design_value,HT1-003井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 七,medium,驱油隔离液类，2m3
ht1_003,保护液/中置液,displacement,1.95,宾汉,30,8.2,,,,,,design_value,HT1-003井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 七,medium,14m3批混车混配
ht1_003,基液,displacement,1.02,宾汉,30,8,,,,,,design_value,HT1-003井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 七/14.4.2,medium,1m3密度1.02g/cm3
ht1_003,替浆钻井液,displacement,1.95,,,62,,,,,,field_measured,HT1-003井168.3+139.7mm尾管固井施工记录表.doc 替浆,high,替浆介质钻井液密度1.95g/cm3塑粘62mPa.s(记录表)
