well_id,event_time_min,event_md_m,event_type,description,related_stage,source_description,confidence,notes
ht1_004,,7498.61,lost_circulation,钻进期间井漏：7498.61m喀拉扎组，密度1.96g/cm3，出口流量31↓21L/s，井底ECD2.019g/cm3，泵压36.27↓35.49MPa，降排量至4.2L/s流量平稳，钻井液密度降至1.89并泵入堵漏剂解除,钻进,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.6/作业史 四,high,钻进复杂；压力窗口窄(0.027g/cm3)漏溢同层
ht1_004,,5578,washout_hole,大肚子井段：5578-5582m平均305mm，最大井径309mm@5579m(241.3mm井眼),井眼准备,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.4.3,high,井身质量情况；电测井径5578-5630m段250.82mm
ht1_004,,,gas_migration_risk,油气上窜：5月28日后效静止76.5h上窜858.33m速度11.22m/h；5月31日上窜速度28.51m/hr(施工记录表井眼准备),井眼准备,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 二.2.4/施工记录表,high,显示层7495-7526m能量活跃；固井全程控压1.94-1.975g/cm3
ht1_004,,,running_casing,下套管：2026-06-11 06:30开始(作业史)至6月13日18:00；中途洗井200m(1.5m3/min/0.4MPa)、2400m(0.8/3)、4000m(0.2/6)、5500m(1/10)；下套管复杂情况无,下套管,HT1-004井168.3+139.7mm油层尾管固井总结.doc/作业史,high,6月11日2:00(总结)开始；6月12日06:00接悬挂器顶通
ht1_004,,,pump_ball_seat,投球坐挂：2026-06-14 9:23投Φ40mm硫化铜球，9:33开泵排量0.8m3/min泵压11-12MPa控压2.5MPa，10:01送球28min球到位缓慢憋压15.4MPa稳压2min下放8m悬重265t↓125t坐挂成功调整130t，继续憋压19.5MPa压力突降球座憋通建立循环,坐挂,HT1-004井168.3+139.7mm油层尾管固井总结.doc/作业史 八(4),high,大陆架一体式平衡液缸悬挂器；设计坐挂7.01MPa球座憋通20.8MPa
ht1_004,,,release,倒扣丢手：15:00悬重150t位置正转35圈(5/10/20圈每次回转约0圈)，上提至172t不再上涨，继续上提0.8m悬重不变，下放170t保持不变，丢手成功，回接筒顶部5248.79m；悬挂器上下压30t密封良好,丢手,HT1-004井168.3+139.7mm油层尾管固井总结.doc/作业史 八(4),high,丢手成功
ht1_004,,,pressure_test,固井管线试压30MPa：18:00-18:05(总结)/19:25(作业史)试压合格,固井前,HT1-004井168.3+139.7mm油层尾管固井总结.doc/作业史,high,
ht1_004,,,bump_pressure,碰压9-15MPa放回水600L断流正常；替浆到量压力9↑15MPa,替浆,HT1-004井168.3+139.7mm尾管固井施工记录表.doc/固井总结,high,正常碰压；作业史23:15碰压23:25放回水
ht1_004,,,pull_center_tube,拆水泥头拔中心杆：22:40(总结)憋压10MPa拔出中心杆；作业史23:45环空憋压3.5MPa上提2.8m压力10↓5MPa循环10min压力14MPa再上提2.5m,替浆后,HT1-004井168.3+139.7mm油层尾管固井总结.doc/作业史,high,送放工具承受最大上提载荷约170t无过载
ht1_004,,,circulate_high_pressure,循环排混浆：0:30大排量循环排量2.4m3/min压力22MPa控压2MPa，水泥浆返出8方密度1.9-1.91,循环排混浆,HT1-004井168.3+139.7mm油层尾管固井总结.doc/作业史 七.6,high,碰压后循环排混浆90min(设计200m3)
ht1_004,,,shut_in_pressure,候凝：2026-06-14 22:20起候凝72h；管内不憋压；环空井口加压12.3MPa加压54h憋压候凝,候凝,HT1-004井168.3+139.7mm尾管固井施工记录表.doc/固井总结,high,待领浆:隔离液2=8:2顶部强度3.5MPa以上开井
ht1_004,,,tool_small_clearance,工具难点：139.7mm套管壁厚15.88mm内径107.94mm较小，球座考虑复合胶塞碰压问题，球座花篮与丝扣之间间隙较小，上附件困难,下套管,HT1-004井168.3+139.7mm油层尾管固井总结.doc 三(一),medium,固井分析；影响139.7mm段附件上扣与居中度
ht1_004,,,backpressure_control,加回压控制：碰压后立即加回压3.9-6.6MPa；循环排混浆期间控压2.6-0.8MPa+循环压耗3.6MPa；尾浆失重期间(256min)控压1.4-2.5MPa+循环压耗2.8MPa；尾浆底部静胶凝发挥(9.2h)损失2.1MPa控压3.5-4.6MPa；尾浆顶部静胶凝(10h)损失6.5MPa控压7-9MPa；领浆失重损失11.5MPa加回压至14MPa,候凝控压,HT1-004井168.3+139.7mm油层尾管固井总结.doc 三(三),high,施工结束后井底静当量1.888g/cm3，控压维持1.94-1.975g/cm3
