流体名称,流体角色,密度(g/cm3),流变模型,n,K(Pa·sn),PV(mPa·s),YP(Pa),配方摘要,稳定性(g/cm3),冲洗效率(%),API失水(mL),24h强度(MPa),稠化时间(min),相容性摘要,来源文件,页码/表号,证据等级,备注
钻井液,MUD,1.96,BINGHAM,-,0.058,58,9.2,油基泥浆,-,-,-,-,-,技术总结 Page 1/尾管设计,-,A,65℃流变参数
平衡液,WASH,1.85,BINGHAM,-,0.030,30,3.0,轻泥浆体系,-,-,-,-,-,技术总结/施工记录表,-,A,作为平衡液/前置液
驱油隔离液,SPACER,2.00,BINGHAM,-,0.030,30,5.0,前置驱油隔离液,-,97.3,-,-,-,技术总结/2011121,-,A/B,冲洗效率来自2011121
领浆（主值）,LEAD,2.10,POWER_LAW,0.719,0.815,-,-,常规水泥浆体系,-,-,42,15.6,443,相容性>450min,2011121,第1页,A,主报告值；24h强度15.6MPa
领浆（复检值）,LEAD,2.10,POWER_LAW,0.844,0.381,-,-,常规水泥浆体系（复检）,-,-,42,17.6,-,相容性>450min,2011122,第4页,A,复检敏感性分析值
尾浆（主值）,TAIL,1.90,POWER_LAW,0.722,0.684,-,-,常规水泥浆体系,-,-,35,18.2,177,相容性>450min,2011121,第1页,A,主报告值；24h强度18.2MPa
尾浆（复检值）,TAIL,1.90,POWER_LAW,0.830,0.352,-,-,常规水泥浆体系（复检）,-,-,35,19.8,-,相容性>450min,2011122,第5页,A,复检敏感性分析值
轻泥浆,DISPLACEMENT,1.85,BINGHAM,-,0.058,58,9.2,平衡液轻泥浆,-,-,-,-,-,技术总结,-,A,与平衡液类似
中置液,DISPLACEMENT,2.00,BINGHAM,-,0.030,30,3.0,前置液/中置液,-,-,-,-,-,技术总结,-,A,密度2.0g/cm³
后置液,DISPLACEMENT,2.00,BINGHAM,-,0.030,30,3.0,管内压塞/占位流体,-,-,-,-,-,技术总结,-,A,仅作为管内压塞
井浆,DISPLACEMENT,1.96,BINGHAM,-,0.058,58,9.2,钻井液替浆,-,-,-,-,-,技术总结,-,A,施工记录表替浆
