流体名称,流体角色,密度(g/cm3),流变模型,n,K(Pa·sn),PV(mPa·s),YP(Pa),配方摘要,稳定性(g/cm3),冲洗效率(%),API失水(mL),24h强度(MPa),稠化时间(min),相容性摘要,来源文件,页码/表号,证据等级,备注
先导泥浆,前置液/平衡液,1.85,幂律模型,-,-,-,-,油基钻井液,-,-,-,-,-,油基泥浆相容性,HT1-002井139.7mm油层尾管技术总结.doc / HT1-002井139.7mm尾管油气井固井作业史.doc,-,A,先导浆/平衡液密度1.85g/cm³；作业史实际注入20m³
驱油隔离液（设计/实验）,前置隔离液,2.05,幂律模型,0.545,1.338,-,-,海水+40%JYC-1+5%KWD-2+6%ST900L+0.5%ST520L+205%重晶石,-,97.7,-,-,-,油基泥浆相容性,HT1-002 尾管  化验报告.docx,流变表/配方表,A,技术总结设计密度2.05g/cm³；冲洗效率97.7%
驱油隔离液（现场）,前置隔离液,2.10,幂律模型,0.545,1.338,-,-,-,-,96.4,-,-,-,-,现场施工,HT1-002井139.7mm尾管油气井固井作业史.doc,-,A,现场施工简述注2.10g/cm³隔离液15m³；与设计2.05g/cm³分开保留；冲洗效率96.4%
领浆,水泥浆-领浆,2.10,幂律模型,0.811,0.876,-,-,G级油井水泥+添加剂,-,-,45,3.6,456,相容性良好,HT1-002 尾管  化验报告.docx,流变表/稠化时间,A,领浆密度2.10g/cm³；n=0.811,K=0.876Pa·s^n；化验报告稠化456min/技术总结设计值
中间浆,水泥浆-中间浆,1.95,幂律模型,0.871,0.504,-,-,G级油井水泥+添加剂,-,-,44,14.3,293,相容性良好,HT1-002 尾管  化验报告.docx,流变表/稠化时间,A,中间浆密度1.95g/cm³（作业史/化验报告）；技术总结设计1.90g/cm³；n=0.871,K=0.504Pa·s^n
尾浆,水泥浆-尾浆,1.95,幂律模型,0.886,0.453,-,-,G级油井水泥+添加剂,-,-,45,15.1,252,相容性良好,HT1-002 尾管  化验报告.docx,流变表/稠化时间,A,尾浆密度1.95g/cm³（作业史/化验报告）；技术总结设计1.90g/cm³；n=0.886,K=0.453Pa·s^n
压塞液,压塞液,1.90,幂律模型,-,-,-,-,-,-,-,-,-,-,现场使用,HT1-002井139.7mm尾管油气井固井作业史.doc,-,A,压塞液密度1.90g/cm³，体积5m³
替泥浆,顶替液,2.06,幂律模型,-,-,58,6,油基钻井液,-,-,-,-,-,替钻井液,HT1-002井139.7mm尾管油气井固井作业史.doc / 完井尾管固井施工记录表.doc,-,A,替入泥浆密度2.06g/cm³，体积12m³；屈服值6Pa
中置液,顶替液,1.90,幂律模型,-,-,-,-,-,-,-,-,-,-,现场使用,HT1-002井139.7mm尾管油气井固井作业史.doc,-,A,中置液密度1.90g/cm³，体积15m³
重泥浆,顶替液,2.06,幂律模型,-,-,-,-,油基钻井液,-,-,-,-,-,替钻井液,HT1-002井139.7mm尾管油气井固井作业史.doc,-,A,重泥浆密度2.06g/cm³，体积47m³
