流体名称,流体角色,密度(g/cm3),流变模型,n,K(Pa·sn),PV(mPa·s),YP(Pa),配方摘要,稳定性(g/cm3),冲洗效率(%),API失水(mL),24h强度(MPa),稠化时间(min),相容性摘要,来源文件,页码/表号,证据等级,备注
钻井液/井浆,钻井液,1.95,幂律+宾汉,0.82,0.21,51,10,油基钻井液(油水比85:15),-,-,1.2(HTHP),-,-,钻井液性能,untitled.m/施工设计,-,A,Power Law: n=0.82 K=0.21; 初切4Pa 终切7.5Pa; HTHP失水1.2mL(150℃) 泥饼1.5mm
先导浆/平衡液,前置液,1.75,宾汉塑性模型,-,-,55,9.2,低密先导浆,-,-,-,-,-,先导浆性能,untitled.m,-,A,untitled.m中rou1=1.75g/cm3; miu1=55mPa·s; tau1=9.2Pa
驱油隔离液,前置隔离液,2.00,宾汉塑性模型,-,-,30,9,驱油隔离液,-,-,-,-,-,隔离液性能,untitled.m,-,A,untitled.m中rou2=2.00g/cm3; miu2=30mPa·s; tau2=9Pa
领浆,水泥浆-领浆,2.05,宾汉塑性模型,-,-,50,11,G级油井水泥+添加剂,0,<0.03,<50,>3.5,430-490,领浆性能,untitled.m/施工设计,-,A,untitled.m中rou3=2.05; 设计:152℃/145.1MPa 升温80min 稠化430-490min 24h强度>3.5MPa 48h>7MPa
中间浆,水泥浆-中间浆,1.95,宾汉塑性模型,-,-,180,14,G级油井水泥+添加剂,0,<0.02,<50,>14,270-330,中间浆性能,untitled.m/施工设计,-,A,untitled.m中rou4=1.95; 设计:152℃/145.1MPa 升温80min 稠化270-330min 24h强度>14MPa 48h>18MPa
尾浆,水泥浆-尾浆,1.95,宾汉塑性模型,-,-,180,14,G级油井水泥+添加剂,0,<0.02,<50,>14,200-260,尾浆性能,untitled.m/施工设计,-,A,untitled.m中rou5=1.95; 设计:152℃/145.1MPa 升温80min 稠化200-260min 24h强度>14MPa 48h>18MPa
压塞液,压塞液,1.97,宾汉塑性模型,-,-,30,8,压塞液,-,-,-,-,-,压塞液性能,untitled.m,-,A,untitled.m中rou6=1.97g/cm3; miu6=30mPa·s; tau6=8Pa
替浆钻井液,顶替液,1.95,宾汉塑性模型,-,-,30,8.5,替浆用钻井液,-,-,-,-,-,替浆性能,untitled.m,-,A,untitled.m中rou7=1.95g/cm3; miu7=30mPa·s; tau7=8.5Pa
保护液,保护液,1.97,宾汉塑性模型,-,-,30,8.2,保护液,-,-,-,-,-,保护液性能,untitled.m,-,A,untitled.m中rou8=1.97g/cm3; miu8=30mPa·s; tau8=8.2Pa
基液,基液,1.02,宾汉塑性模型,-,-,30,8,隔离液基液,-,-,-,-,-,基液性能,untitled.m,-,A,untitled.m中rou9=1.02g/cm3; miu9=30mPa·s; tau9=8Pa
替浆钻井液1,顶替液,1.95,宾汉塑性模型,-,-,30,8.3,替浆用钻井液(分段1),-,-,-,-,-,替浆性能,untitled.m,-,A,untitled.m中rou91=1.95g/cm3; miu91=30mPa·s; tau91=8.3Pa
替浆钻井液2,顶替液,1.95,宾汉塑性模型,-,-,30,8.3,替浆用钻井液(分段2),-,-,-,-,-,替浆性能,untitled.m,-,A,untitled.m中rou92=1.95g/cm3; miu92=30mPa·s; tau92=8.3Pa
替浆钻井液3,顶替液,1.95,宾汉塑性模型,-,-,30,8.3,替浆用钻井液(分段3),-,-,-,-,-,替浆性能,untitled.m,-,A,untitled.m中rou93=1.95g/cm3; miu93=30mPa·s; tau93=8.3Pa
替浆钻井液4,顶替液,1.95,宾汉塑性模型,-,-,30,8.3,替浆用钻井液(分段4),-,-,-,-,-,替浆性能,untitled.m,-,A,untitled.m中rou94=1.95g/cm3; miu94=30mPa·s; tau94=8.3Pa
替浆钻井液5,顶替液,1.95,宾汉塑性模型,-,-,30,8.3,替浆用钻井液(分段5),-,-,-,-,-,替浆性能,untitled.m,-,A,untitled.m中rou95=1.95g/cm3; miu95=30mPa·s; tau95=8.3Pa
